forest_class	fire_2015	trans_cod	sp	number	cat_cod	predation	arthropod	bird	mammal	reptile	lost	excluded	multiple	relative_predation	arthropod_multiple	multi_taxa
UF	0	B363_T3	SP25	N1	B363_T3_SP25_N1	1	1	0	1	0	0	0	2	0	1	1
UF	0	B363_T3	SP25	N2	B363_T3_SP25_N2	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N3	B363_T3_SP25_N3	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N4	B363_T3_SP25_N4	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N5	B363_T3_SP25_N5	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N6	B363_T3_SP25_N6	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N7	B363_T3_SP25_N7	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N8	B363_T3_SP25_N8	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N9	B363_T3_SP25_N9	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N10	B363_T3_SP25_N10	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N11	B363_T3_SP25_N11	1	0	0	1	0	0	0	1	0	1	0
UF	0	B363_T3	SP25	N12	B363_T3_SP25_N12	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N13	B363_T3_SP25_N13	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N14	B363_T3_SP25_N14	1	0	0	1	0	0	0	1	0	1	0
UF	0	B363_T3	SP25	N15	B363_T3_SP25_N15	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N16	B363_T3_SP25_N16	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N17	B363_T3_SP25_N17	0	0	0	0	0	0	0	0	0	0	0
UF	0	B363_T3	SP25	N18	B363_T3_SP25_N18	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N19	B363_T3_SP25_N19	1	1	0	0	0	0	0	1	1	0	0
UF	0	B363_T3	SP25	N20	B363_T3_SP25_N20	1	1	0	0	0	0	0	1	1	0	0
