forest_class	fire_2015	total	unburned	burned	arthropod	bird	mammal	reptile
UF	unburned	55.03355705	55.03355705	NA	95.12195122	2.684563758	3.355704698	0
UF	unburned	53.69127517	53.69127517	NA	98.75	0.67114094	0	0
UF	unburned	52.34899329	52.34899329	NA	96.15384615	2.013422819	0.67114094	0
UF	unburned	56.37583893	56.37583893	NA	75	12.75167785	0.67114094	0
UF	unburned	66.66666667	66.66666667	NA	100	0.666666667	0	0
UF	burned	88.51351351	NA	88.51351351	87.02290076	12.83783784	6.081081081	0
UF	burned	95.33333333	NA	95.33333333	99.3006993	10	2	0.666666667
UF	burned	62	NA	62	90.32258065	5.333333333	4.666666667	0
UF	burned	94	NA	94	100	8.666666667	3.333333333	0
UF	burned	79.33333333	NA	79.33333333	94.11764706	7.333333333	4	0
LF	unburned	59.18367347	59.18367347	NA	77.01149425	2.040816327	0	0
LF	unburned	40	40	NA	91.66666667	4.666666667	0.666666667	0
LF	unburned	67.11409396	67.11409396	NA	94	4.697986577	2.013422819	0
LF	unburned	41.78082192	41.78082192	NA	83.60655738	6.849315068	1.369863014	0
LF	burned	79.45205479	NA	79.45205479	87.93103448	2.054794521	18.49315068	0
LF	burned	52.73972603	NA	52.73972603	93.50649351	6.164383562	1.369863014	0
LF	burned	52.66666667	NA	52.66666667	97.46835443	1.333333333	0.666666667	0
LF	burned	80.53691275	NA	80.53691275	91.66666667	8.053691275	9.395973154	0
LBF	unburned	62.58503401	62.58503401	NA	85.86956522	2.040816327	0.680272109	0
LBF	unburned	59.06040268	59.06040268	NA	96.59090909	0.67114094	2.013422819	0.67114094
LBF	unburned	71.33333333	71.33333333	NA	95.3271028	6.666666667	0	0
LBF	unburned	55.70469799	55.70469799	NA	91.56626506	3.355704698	1.342281879	0
LBF	burned	76.66666667	NA	76.66666667	91.30434783	7.333333333	6	0
LBF	burned	45.33333333	NA	45.33333333	94.11764706	3.333333333	0	0
LBF	burned	50	NA	50	74.66666667	4	14	0
LBF	burned	57.33333333	NA	57.33333333	86.04651163	11.33333333	12	0
LBF	burned	67.11409396	NA	67.11409396	96	9.395973154	3.355704698	0
SF	unburned	69.33333333	69.33333333	NA	97.11538462	2.666666667	0	0
SF	unburned	53.33333333	53.33333333	NA	81.25	6	6	0
SF	unburned	72.66666667	72.66666667	NA	88.0733945	10	2	0
